FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Engine 4/Ladder 15,42 South Street,Manhattan,10005,40.703466,-74.007538,1,1,7,1000867,1000350001,Battery Park City-Lower Manhattan                                          
Engine 10/Ladder 10,124 Liberty Street,Manhattan,10006,40.710072,-74.012523,1,1,13,1075700,1000520022,Battery Park City-Lower Manhattan                                          
Engine 6,49 Beekman Street,Manhattan,10038,40.710048,-74.005245,1,1,1501,1001287,1000930030,Battery Park City-Lower Manhattan                                          
Engine 7/Ladder 1/Battalion 1/Manhattan Borough Command,100-104 Duane Street,Manhattan,10007,40.715463,-74.005938,1,1,33,1001647,1001500025,SoHo-TriBeCa-Civic Center-Little Italy                                     
Ladder 8,14 North Moore Street,Manhattan,10013,40.719759,-74.006678,1,1,33,1002150,1001890035,SoHo-TriBeCa-Civic Center-Little Italy                                     
Engine 9/Ladder 6,75 Canal Street,Manhattan,10002,40.715213,-73.992901,3,1,16,1003898,1003000030,Chinatown                                                                  
Engine 15/Ladder 18/Battalion 4,25 Pitt Street,Manhattan,10002,40.716395,-73.983478,3,1,12,1004078,1003420060,Lower East Side                                                            
Engine 28/Ladder 11,222 East 2nd Street,Manhattan,10009,40.721682,-73.982622,3,2,2202,1004608,1003850058,Lower East Side                                                            
Engine 5,340 East 14th Street,Manhattan,10003,40.731752,-73.983536,3,2,40,1006520,1004550028,East Village                                                               
Engine 55,363 Broome Street,Manhattan,10013,40.720033,-73.995689,2,1,41,1066722,1004700012,SoHo-TriBeCa-Civic Center-Little Italy                                     
Ladder 20/Division 1,253 Lafayette Street,Manhattan,10012,40.723072,-73.996804,2,1,43,1007523,1004950007,SoHo-TriBeCa-Civic Center-Little Italy                                     
Engine 24/Ladder 5/Battalion 2,227-29 6th Avenue,Manhattan,10014,40.727914,-74.003157,2,3,37,1080044,1005200037,SoHo-TriBeCa-Civic Center-Little Italy                                     
Engine 33/Ladder 9,42 Great Jones Street,Manhattan,10012,40.726815,-73.992643,2,1,5502,1008526,1005310049,West Village                                                               
Ladder 3/Battalion 6,108 East 13th Street,Manhattan,10003,40.733329,-73.989421,3,2,42,1009010,1005580011,East Village                                                               
Squad 18,132 West 10th Street,Manhattan,10014,40.734625,-74.000346,2,3,71,1010686,1006100051,West Village                                                               
Engine 34/Ladder 21,440 West 38th Street,Manhattan,10018,40.756635,-73.996217,4,3,111,1012982,1007350061,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Engine 26,220 West 37th Street,Manhattan,10018,40.753239,-73.990078,5,3,109,1014447,1007860061,Midtown-Midtown South                                                      
Engine 3/Ladder 12/Battalion 7,150 West 19th Street,Manhattan,10011,40.741044,-73.996041,4,3,87,1014724,1007940066,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Engine 1/Ladder 24,142-46 West 31st Street,Manhattan,10001,40.74843,-73.990447,5,3,101,1015173,1008060066,Midtown-Midtown South                                                      
Engine 14,14 East 18th Street,Manhattan,10003,40.738143,-73.990964,5,2,52,1016141,1008460066,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Engine 16 / Ladder 7 ,234 East 29th Street,Manhattan,10016,40.742209,-73.979535,6,2,66,1019903,1009090035,Murray Hill-Kips Bay                                                       
Engine 21,238 East 40th Street,Manhattan,10016,40.748845,-73.973888,6,4,88,1020385,1009200042,Turtle Bay-East Midtown                                                    
Engine 54/Ladder 4/Battalion 9,782 8th Avenue,Manhattan,10036,40.760792,-73.987182,5,3,125,1024767,1010190061,Midtown-Midtown South                                                      
Engine 23,215 West 58th Street,Manhattan,10019,40.766544,-73.98035,5,4,137,1024915,1010300023,Midtown-Midtown South                                                      
Rescue 1,530 West 43rd Street,Manhattan,10036,40.760892,-73.996405,4,3,129,1070109,1010710049,Clinton                                                                    
Engine 40/Ladder 35,131 Amsterdam Avenue  ,Manhattan,10023,40.774505,-73.984619,7,6,149,1077844,1011377501,Lincoln Square                                                             
Ladder 25/District Office 4/Division 3,205-207 West 77th Street,Manhattan,10024,40.781992,-73.979627,7,6,163,1030885,1011690026,Upper West Side                                                            
Engine 74,120 West 83rd Street ,Manhattan,10024,40.784881,-73.974434,7,6,169,1032079,1012130041,Upper West Side                                                            
Engine 65,33 West 43rd Street,Manhattan,10036,40.754676,-73.98161,5,4,96,1076256,1012590018,Midtown-Midtown South                                                      
Engine 8 / Ladder 2 / Battalion 8,167 East 51st Street,Manhattan,10022,40.756812,-73.971142,6,4,100,1036462,1013060033,Turtle Bay-East Midtown                                                    
Engine 39/Ladder 16,157-59 East 67th Street,Manhattan,10065,40.76696,-73.963856,8,4,120,1072190,1014020029,Upper East Side-Carnegie Hill                                              
Engine 44,221 East 75th Street,Manhattan,10021,40.771427,-73.958521,8,4,134,1044059,1014300010,Lenox Hill-Roosevelt Island                                                
